Thr_F,Thr_UF,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
0.17,0.81,37,0.31238282051469113,0.059789206796070436,0.4254209273040509,0.008666371305073084
0.17,0.83,37,0.22255745419248904,0.18551107371824538,0.27163861328137695,0.1038759321581952
0.17,0.85,37,0.18189677068524782,0.28126613061200456,0.2672516081781858,0.10980464033096116
0.17,0.87,37,0.22848641825166646,0.17376712039579467,0.2485179107105046,0.13802862677378366
0.17,0.89,37,0.32079059834497614,0.052889012304871565,0.35131611137176777,0.032997475736106424
0.17,0.91,36,0.19803258193243004,0.2469569149540091,0.3476861749823496,0.03772623582289907
0.17,0.93,36,0.44470950714894986,0.006577899282878783,0.5015125278531041,0.0018330276995869952
0.17,0.95,28,0.167807580068289,0.39335613405634395,0.24144539639954837,0.2158005092339996
0.19,0.45,37,0.23721079704623638,0.15746692188134395,0.34704767397406827,0.0353386267646675
0.19,0.47,37,0.24027057861120568,0.1520214834662476,0.3500118666113596,0.03369895160986046
0.19,0.49,37,0.2410002195376556,0.15074345237857778,0.3590230122287252,0.029092310063617205
0.19,0.51,37,0.2446409002488813,0.14448333588814521,0.3393407731171108,0.03990823210656855
0.19,0.53,37,0.2568665058393616,0.1248548751928744,0.36542566832527446,0.026144769337130686
0.19,0.55,37,0.2734775940921191,0.10146432975370681,0.37206545983280703,0.02335323310110146
0.19,0.57,37,0.2918505503588804,0.07965171450330505,0.4210339222008598,0.009458367665045004
0.19,0.59,37,0.28487862735397385,0.08745310066540166,0.4395304842575576,0.00649134238671867
0.19,0.61,37,0.2805932952231047,0.09253289906219792,0.4854161862828273,0.0023240535318607555
0.19,0.63,37,0.27844874035278117,0.09515862035797988,0.4780649885423448,0.0027659817695784203
0.19,0.65,37,0.2768522971916972,0.09715002381983259,0.45802704631425545,0.004362631370016906
0.19,0.67,37,0.2708294735063962,0.10495071526152684,0.45944985878015526,0.004227462344804846
0.19,0.69,37,0.2926679266482331,0.07877372592516385,0.4608726712460551,0.004095939377249888
0.19,0.71,37,0.3054062460606159,0.06604087273866718,0.42435381795462596,0.008853606695303003
0.19,0.73,37,0.3085546784808422,0.06315868815864173,0.41439413069332715,0.01077409470250042
0.19,0.75,37,0.3216869754210227,0.052192567039293994,0.43443207292141645,0.007215775947276479
0.19,0.77,37,0.3211934318639163,0.05257511542514132,0.4245909533656093,0.008811702995895862
0.19,0.79,37,0.30017673990464544,0.07105611153758,0.42328670860520107,0.009044285798932138
0.19,0.81,37,0.3255364836008939,0.049284604951062704,0.429452229290767,0.007989252169337921
0.19,0.83,37,0.2243197310421403,0.1819633121107498,0.2722314518088352,0.10309378637991937
0.19,0.85,37,0.17665147729975963,0.2956063388851124,0.22243301550234099,0.18576342569202967
0.19,0.87,37,0.2562574155294439,0.12578304558588296,0.2444866087237884,0.14474470932323907
0.19,0.89,37,0.34108057422613713,0.038836907299828353,0.3466919708575933,0.03553968830440565
0.19,0.91,36,0.1776098780189201,0.3000536155058977,0.3882345441491175,0.019293317141539805
0.19,0.93,36,0.4265128034305344,0.00948692176490346,0.4809165308160156,0.002987077715556487
0.19,0.95,28,0.1364678399843516,0.48865653600915526,0.20476321599417482,0.2959156666059697
0.21,0.45,37,0.2862140207585234,0.08591493377811031,0.4055015527814532,0.012777369806248797
0.21,0.47,37,0.29066507555416293,0.08093859144323033,0.4064500944253864,0.01254968467908397
0.21,0.49,37,0.2929650544482414,0.07845643735126441,0.41024426100111927,0.011672971562837833
0.21,0.51,37,0.29389764335592,0.07746702671716733,0.39992887062334553,0.014186782584291582
0.21,0.53,37,0.3095872910262934,0.06223536067737919,0.42067821908438474,0.009525204275859279
0.21,0.55,37,0.3296119705998391,0.04634908929695707,0.4331278281610083,0.007411866674789233
0.21,0.57,37,0.35044540881888886,0.033464434649057725,0.4552999890879474,0.004632200830765519
0.21,0.59,37,0.34644172088067576,0.03568170076845244,0.4662082179931795,0.003633822715353016
0.21,0.61,37,0.3409074504369007,0.038942454447453874,0.48885464974208526,0.002139490358025721
0.21,0.63,37,0.34006504038048074,0.039459370520745864,0.4803177749466862,0.0026233498985242746
0.21,0.65,37,0.3386921722551151,0.040313706990618245,0.4870761341597104,0.002233283702562504
0.21,0.67,37,0.33130829370408155,0.04516950643383759,0.4908703007354433,0.0020373804806734694
0.21,0.69,37,0.3570685021151232,0.030044721274850607,0.5202750916973733,0.0009641107034241186
0.21,0.71,37,0.36953061931783887,0.024388229920821337,0.5116196491964825,0.0012100351290320797
0.21,0.73,37,0.36197788019216265,0.02769971563214556,0.5062841024493582,0.0013878498981182723
0.21,0.75,37,0.3865770294810797,0.018105306553372447,0.48589045710479395,0.0022977955279796917
0.21,0.77,37,0.38686830418585033,0.018011043143327778,0.4849419154608606,0.0023505738196263376
0.21,0.79,37,0.36592504532729014,0.025925652361792666,0.4807920457686528,0.0025941548656096968
0.21,0.81,37,0.39188321026861994,0.01645144542586292,0.4855347539883189,0.002317464527390989
0.21,0.83,37,0.3033318744382464,0.06799577408108572,0.35511027794750066,0.031024489449795637
0.21,0.85,37,0.24580983465476766,0.1425143613395447,0.3216741849988545,0.0522024527936597
0.21,0.87,37,0.33383595807921257,0.043456840617823865,0.3133744456144388,0.05894006735691015
0.21,0.89,37,0.40663900857250185,0.012504750827225514,0.41142993805603584,0.011409886310461363
0.21,0.91,36,0.18049638158120554,0.29213893231816745,0.4417841364455475,0.006985992755684548
0.21,0.93,36,0.4307836791940067,0.008720725406556787,0.5715389177792048,0.0002715308751956967
0.21,0.95,28,0.13589639591849684,0.49049589786977293,0.24692034869885787,0.20525059245649857
0.23,0.45,37,0.35202409511472393,0.032621726307432895,0.4186625680910267,0.009911599259891905
0.23,0.47,37,0.3587491982358408,0.029224220545076764,0.43182358340060006,0.007612509015524102
0.23,0.49,37,0.36451675798102,0.02654750911650397,0.450320145457298,0.005161794642556977
0.23,0.51,37,0.3672828786029778,0.02533752552703829,0.42968936470175034,0.007950873362119845
0.23,0.53,37,0.3876532707579376,0.017759053352011885,0.4477116559364816,0.005459507663572133
0.23,0.55,37,0.41447504479007097,0.010757170496459991,0.47320371261718697,0.0030970244982282606
0.23,0.57,37,0.4422350850462872,0.006133096894613337,0.5017785296406754,0.0015555415450448792
0.23,0.59,37,0.44923436303022024,0.005283968510020641,0.5056912639218999,0.0014089623318171206
0.23,0.61,37,0.446108253026041,0.005649766226861016,0.5493241795428282,0.00042964260447273564
0.23,0.63,37,0.44422191316867454,0.0058808931439492925,0.5232392843346646,0.0008907010576597537
0.23,0.65,37,0.44480244962217724,0.005808909569803478,0.5180223052930318,0.0010234330837186638
0.23,0.67,37,0.42541538893612063,0.008667334265062185,0.5179037375875403,0.0010266428578428939
0.23,0.69,37,0.4626756362008993,0.003934385416316599,0.5522883721801196,0.0003939787509099431
0.23,0.71,37,0.477104529055709,0.002828821347663759,0.5205122271083565,0.0009580468983417912
0.23,0.73,37,0.4628627973022408,0.003917936254429683,0.5176666021765569,0.0010330891295209155
0.23,0.75,37,0.4912404141824375,0.0020191028704726562,0.5137538678953324,0.0011447457544079382
0.23,0.77,37,0.49156164775130756,0.0020033558774983124,0.5190894146424567,0.000994942183445331
0.23,0.79,37,0.4737787460896189,0.0030561460143866052,0.5372302735826796,0.0006068638952404936
0.23,0.81,37,0.49545495214912794,0.0018208958328633444,0.542565820329804,0.000521937435032535
0.23,0.83,37,0.3820906116358268,0.019610196935343927,0.4040787403155533,0.013125445113405153
0.23,0.85,37,0.3176053405111174,0.05542409683807204,0.37040551195592386,0.024026791888015268
0.23,0.87,37,0.3963509965920824,0.015159089102077127,0.3865307199027887,0.01812033142073185
0.23,0.89,37,0.45717616487221685,0.0044452427250999274,0.4984586338869091,0.0016902691077429672
0.23,0.91,36,0.19166525062541873,0.2627874133022488,0.48529318018639683,0.0026993809304512403
0.23,0.93,36,0.43289765286063137,0.008361437728408609,0.5595674945013972,0.00038791681393992124
0.23,0.95,28,0.14045042976482297,0.4759351812274871,0.24363537731927218,0.21153733619282508
0.25,0.45,37,0.3403091580867121,0.03930900623511579,0.41522410463176873,0.01060156507861854
0.25,0.47,37,0.3476050011348305,0.035025464131149875,0.4059758236034197,0.012663094199941948
0.25,0.49,37,0.35464627908502355,0.03126044593768778,0.4225753023722512,0.009173343317282553
0.25,0.51,37,0.3593759500394155,0.028923004667465328,0.413089885932919,0.01105003213261513
0.25,0.53,37,0.3820085270378176,0.019638674895272684,0.4179511618580767,0.010051123760323834
0.25,0.55,37,0.4135159312165776,0.01095924161988441,0.4624140514174466,0.003957475939600705
0.25,0.57,37,0.4460140570154357,0.005661119076724822,0.5156509511831987,0.0010893440041179385
